Dias	Acordar na Hora	Arrumar Cama	Estudar/PUC	Limpar/Arrumar Quarto	Speedrun Higiene	Exercicio	Work on the Game					
2021-08-19		1	1		1		1					
2021-08-20	2	3	2	2
2021-08-21	2	2	1
2021-08-22	1	2
2021-08-23	1	1	2		1		1
2021-08-24	2	2	1				2					
2021-08-25	2	1	1									
2021-08-26		1										
2021-08-27	1	1			1		2					
2021-08-28	1	3	1	2								
2021-08-29		2										
2021-08-30		2	2									
2021-08-31		1	2				1					
2021-09-01		1	1				1					
2021-09-02		2					2					
2021-09-03		1				1						
2021-09-04		1										
2021-09-05		1										
2021-09-06		1										
2021-09-07		1										
2021-09-08		1					2					
2021-09-09							3					
2021-09-10		2		1	1	1						
2021-09-11		1										
2021-09-12		1										
2021-09-13		1					1					
2021-09-14		1										
2021-09-15		1										
2021-09-16												
2021-09-17		1										
2021-09-18		1										
2021-09-19	1	1										
2021-09-20		1			1	1	1					
2021-09-21		2					1					
2021-09-22		1										
2021-09-23		1			1	2						
2021-09-24		1				1	1					
2021-09-25		1			1	2						
2021-09-26		1										
2021-09-27	1	1					1					
2021-09-28	1	1			1	1						
2021-09-29		1					1					
2021-09-30		1										
2021-10-01	1	1	2	1	1	2	3					
2021-10-02	1	1	2				2					
2021-10-03		1										
2021-10-04		1										
2021-10-05		1		1			3					
2021-10-06		1					2					
2021-10-07	1	1			1	1	2
